"mi","URL for mi","col1"
"ntohs(x)","file:///opt/src/net/link_local.c:250:2:252:23","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/link_local.c:109:7:109:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1586:6:1586:13","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/net.c:1575:13:1575:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1458:12:1458:32","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1432:13:1432:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1419:13:1419:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1106:13:1106:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1109:14:1109:35","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1113:14:1113:34","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1121:15:1121:35","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1141:8:1141:26","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1148:9:1148:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1150:15:1150:34","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1192:13:1192:29","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1193:4:1193:53","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1196:9:1196:25","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1266:13:1266:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/net.c:1267:13:1267:36","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/net.c:1268:13:1268:36","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/net.c:1269:13:1269:36","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/net.c:1270:13:1270:36","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1272:13:1272:30","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1279:13:1279:26","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1295:18:1295:36","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1304:5:1304:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1305:5:1305:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1306:5:1306:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1312:11:1312:28","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1314:11:1314:28","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1315:11:1315:28","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1064:10:1064:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1065:10:1065:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1066:10:1066:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:1021:15:1021:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:906:15:906:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/net.c:913:8:913:24","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:665:6:665:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:667:11:667:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:678:11:678:40","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:688:10:688:40","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:695:10:695:59","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:618:6:618:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:620:11:620:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:635:9:635:58","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:582:6:582:19","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:519:6:519:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:521:11:521:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:528:11:528:40","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:533:12:533:41","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:536:5:540:41","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:536:5:540:41","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:548:5:552:41","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:548:5:552:41","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:561:4:562:40","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:571:20:571:49","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:495:6:495:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:497:11:497:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:469:6:469:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:471:11:471:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:439:6:439:30","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:441:11:441:35","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:451:27:451:56","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/nfs.c:454:21:454:50","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/rarp.c:38:7:38:23","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/rarp.c:39:7:39:24","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/rarp.c:40:7:40:24","Invoking a macro reading from the network"
"ntohl(x)","file:///opt/src/net/sntp.c:72:12:72:25","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/tftp.c:435:10:435:21","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/tftp.c:449:17:449:25","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/tftp.c:515:20:515:40","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/tftp.c:566:19:566:39","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/net/tftp.c:568:11:568:31","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:397:6:397:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:398:6:398:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:357:6:357:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:312:6:312:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:313:6:313:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:271:6:271:27","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/test/dm/eth.c:276:6:276:22","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1717:4:1717:36","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1718:4:1718:36","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1719:4:1719:39","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1721:4:1721:38","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1722:4:1722:38","Invoking a macro reading from the network"
"ntohs(x)","file:///opt/src/tools/mxsimage.c:1723:4:1723:41","Invoking a macro reading from the network"
