"dollarCall","URL for dollarCall"
"$('#btn-compile')","file:///opt/src/docs/assets/js/src/customizer.js:450:21:450:37"
"$(document)","file:///opt/src/docs/examples/offcanvas/offcanvas.js:1:1:1:11"
"$('[dat ... vas""]')","file:///opt/src/docs/examples/offcanvas/offcanvas.js:2:3:2:32"
"$('.row-offcanvas')","file:///opt/src/docs/examples/offcanvas/offcanvas.js:3:5:3:23"
"$(document)","file:///opt/src/docs/examples/tooltip-viewport/tooltip-viewport.js:1:1:1:11"
"$('.tooltip-right')","file:///opt/src/docs/examples/tooltip-viewport/tooltip-viewport.js:2:3:2:21"
"$('.tooltip-bottom')","file:///opt/src/docs/examples/tooltip-viewport/tooltip-viewport.js:6:3:6:22"
"$('.too ... right')","file:///opt/src/docs/examples/tooltip-viewport/tooltip-viewport.js:10:3:10:30"
"$('.too ... ottom')","file:///opt/src/docs/examples/tooltip-viewport/tooltip-viewport.js:14:3:14:31"
"$(this. ... target)","file:///opt/src/js/affix.js:19:20:19:41"
"$(element)","file:///opt/src/js/affix.js:23:25:23:34"
"$(document)","file:///opt/src/js/affix.js:81:33:81:43"
"$(document.body)","file:///opt/src/js/affix.js:81:55:81:70"
"$(this)","file:///opt/src/js/affix.js:121:21:121:27"
"$(window)","file:///opt/src/js/affix.js:148:3:148:11"
"$('[dat ... fix""]')","file:///opt/src/js/affix.js:149:5:149:27"
"$(this)","file:///opt/src/js/affix.js:150:18:150:24"
"$(el)","file:///opt/src/js/alert.js:18:5:18:9"
"$(this)","file:///opt/src/js/alert.js:26:20:26:26"
"$(selec ... lector)","file:///opt/src/js/alert.js:34:19:34:53"
"$(this)","file:///opt/src/js/alert.js:66:19:66:25"
"$(document)","file:///opt/src/js/alert.js:92:3:92:13"
"$(element)","file:///opt/src/js/button.js:17:22:17:31"
"$(this)","file:///opt/src/js/button.js:80:21:80:27"
"$(document)","file:///opt/src/js/button.js:109:3:109:13"
"$(e.target)","file:///opt/src/js/button.js:111:18:111:28"
"$(e.target)","file:///opt/src/js/button.js:113:13:113:23"
"$(e.target)","file:///opt/src/js/button.js:122:7:122:17"
"$(element)","file:///opt/src/js/carousel.js:17:24:17:33"
"$(this. ... next)])","file:///opt/src/js/carousel.js:140:28:140:83"
"$(this)","file:///opt/src/js/carousel.js:178:21:178:27"
"$(this)","file:///opt/src/js/carousel.js:210:19:210:25"
"$($this ... /, ''))","file:///opt/src/js/carousel.js:211:19:211:115"
"$(document)","file:///opt/src/js/carousel.js:226:3:226:13"
"$(window)","file:///opt/src/js/carousel.js:230:3:230:11"
"$('[dat ... sel""]')","file:///opt/src/js/carousel.js:231:5:231:31"
"$(this)","file:///opt/src/js/carousel.js:232:23:232:29"
"$(element)","file:///opt/src/js/collapse.js:18:26:18:35"
"$('[dat ... + '""]')","file:///opt/src/js/collapse.js:20:26:21:89"
"$(this. ... parent)","file:///opt/src/js/collapse.js:140:12:140:33"
"$(element)","file:///opt/src/js/collapse.js:143:24:143:33"
"$(target)","file:///opt/src/js/collapse.js:163:12:163:20"
"$(this)","file:///opt/src/js/collapse.js:172:21:172:27"
"$(document)","file:///opt/src/js/collapse.js:200:3:200:13"
"$(this)","file:///opt/src/js/collapse.js:201:19:201:25"
"$(element)","file:///opt/src/js/dropdown.js:19:5:19:14"
"$(selector)","file:///opt/src/js/dropdown.js:32:31:32:41"
"$(backdrop)","file:///opt/src/js/dropdown.js:39:5:39:15"
"$(toggle)","file:///opt/src/js/dropdown.js:40:5:40:13"
"$(this)","file:///opt/src/js/dropdown.js:41:27:41:33"
"$(this)","file:///opt/src/js/dropdown.js:59:17:59:23"
"$(docum ... 'div'))","file:///opt/src/js/dropdown.js:71:9:71:40"
"$(this)","file:///opt/src/js/dropdown.js:73:24:73:30"
"$(this)","file:///opt/src/js/dropdown.js:97:17:97:23"
"$(this)","file:///opt/src/js/dropdown.js:132:19:132:25"
"$(document)","file:///opt/src/js/dropdown.js:158:3:158:13"
